"Time","TARGET"
2023-11-08 12:13:15,18.8 GB
2023-11-08 12:13:30,18.9 GB
2023-11-08 12:13:45,19.0 GB
2023-11-08 12:14:00,19.1 GB
2023-11-08 12:14:15,19.1 GB
2023-11-08 12:14:30,19.2 GB
2023-11-08 12:14:45,19.3 GB
2023-11-08 12:15:00,19.4 GB
2023-11-08 12:15:15,19.6 GB
2023-11-08 12:15:30,19.6 GB
2023-11-08 12:15:45,19.8 GB
2023-11-08 12:16:00,20.0 GB
2023-11-08 12:16:15,20.1 GB
2023-11-08 12:16:30,20.3 GB
2023-11-08 12:16:45,20.5 GB
2023-11-08 12:17:00,20.6 GB
2023-11-08 12:17:15,10.2 GB
2023-11-08 12:17:30,10.2 GB
2023-11-08 12:17:45,10.2 GB
2023-11-08 12:18:00,10.2 GB
